intel-ucode 20260227-1
iproute2 6.19.0-2
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.20.1-1
jack2 1.9.22-2
jansson 2.15.0-1
jasper 4.2.8-1
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.8.1-1
js140 140.8.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
karchive 6.24.0-2
kbd 2.9.0-1
kbookmarks 6.24.0-2
kcmutils 6.24.0-2
kcodecs 6.24.0-2
kcolorscheme 6.24.0-1
kcompletion 6.24.0-2
kconfig 6.24.0-2
kconfigwidgets 6.24.0-2
kcoreaddons 6.24.0-2
kcrash 6.24.0-2
kdbusaddons 6.24.0-2
kdnssd 6.24.0-2
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keyutils 1.6.3-3
kfilemetadata 6.24.0-2
kglobalaccel 6.24.0-2
kguiaddons 6.24.0-1
ki18n 6.24.0-2
kiconthemes 6.24.0-2
kidletime 6.24.0-1
kio 6.24.0-2
kio-extras 25.12.3-1
kirigami 6.24.0-1
kitemviews 6.24.0-2
kitty 0.46.2-1
kitty-shell-integration 0.46.2-1
kitty-terminfo 0.46.2-1
kjobwidgets 6.24.0-2
kmod 34.2-1
knewstuff 6.24.0-2
knotifications 6.24.0-2
kpackage 6.24.0-2
kparts 6.24.0-2
krb5 1.21.3-2
kservice 6.24.0-2
ktextwidgets 6.24.0-2
kuserfeedback 6.24.0-1
kwallet 6.24.0-2
kwidgetsaddons 6.24.0-2
kwindowsystem 6.24.0-1
kxmlgui 6.24.0-2
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
lazygit 0.60.0-1
lcms2 2.18-1
ldb 2:4.24.0-1
leancrypto 1.6.0-1
lensfun 1:0.3.4-6
less 1:692-1
libabw 0.1.3-6
libadwaita 1:1.8.4-1
libao 1.2.2-7
libappindicator 12.10.1-1
libarchive 3.8.6-1
libasan 15.2.1+r604+g0b99615a8aef-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 15.2.1+r604+g0b99615a8aef-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.1-1
libavtp 0.2.0-3
libb2 0.98.1-3
libblockdev 3.4.0-3
libblockdev-crypto 3.4.0-3
libblockdev-fs 3.4.0-3
libblockdev-loop 3.4.0-3
libblockdev-mdraid 3.4.0-3
libblockdev-nvme 3.4.0-3
libblockdev-part 3.4.0-3
libblockdev-smart 3.4.0-3
libblockdev-swap 3.4.0-3
libbluray 1.4.1-1
libbpf 1.6.2-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.9.1-1
libcddb 1.3.2-9
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcdr 0.1.8-4
libcloudproviders 0.4.0-1
libcmis 0.6.2-7
libcolord 1.4.8-1
libcue 2.3.0-1
libcups 2:2.4.16-2
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2
libdca 0.0.7-3
libde265 1.0.18-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdmapsharing 3.9.13-2
libdovi 3.3.2-1
libdrm 2.4.131-1
libdv 1.0.0-12
libdvbpsi 1:1.3.3-3
libdvdcss 1.5.0-1
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libe-book 0.1.3-20
libebml 1.4.5-1
libebur128 1.2.6-2
libedataserverui4 3.58.3-1
libedit 20251016_3.1-1
libei 1.5.0-1
libelf 0.194-2
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.12-5
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-6
libftdi 1.5-10
libfyaml 0.9.6-1
libgcc 15.2.1+r604+g0b99615a8aef-1
libgcrypt 1.12.1-1
libgdata 0.18.1-5
libgdm 49.2-1
libgee 0.20.8-1
libgexiv2 0.14.6-2
libgfortran 15.2.1+r604+g0b99615a8aef-1
libgirepository 1.86.0-2
libglvnd 1.7.0-3
libgme 0.6.4-2
libgoa 3.56.5-1
libgomp 15.2.1+r604+g0b99615a8aef-1
libgoom2 2k4-5
libgpg-error 1.59-1
libgphoto2 2.5.33-1
libgsf 1.14.56-1
libgtop 2.41.3-2
libgudev 238-3
libgusb 0.4.9-2
libgweather-4 4.4.4-3
libgxps 0.3.2-5
libhandy 1.8.3-2
libheif 1.21.2-2
libibus 1.5.33-3
libical 3.0.20-3
libice 1.1.2-1
libidn 1.43-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libieee1284 0.2.11-19
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.30.1-1
libiptcdata 1.0.5-5
libisl 0.27-1
libixion 0.20.0-5
libjpeg-turbo 3.1.3-1
libjxl 0.11.2-2
libkate 0.4.3-4
libkexiv2 25.12.3-1
libksba 1.6.8-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.3-3
libldap 2.6.13-1
libliftoff 0.5.0-1
liblouis 3.37.0-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
liblsan 15.2.1+r604+g0b99615a8aef-1
libltc 1.3.2-2
libluv 1.51.0-1
libmad 0.15.1b-10
libmakepkg-dropins 20-1
libmalcontent 0.13.1-1
libmanette 0.2.13-2
libmatroska 1.7.1-2
libmbim 1.34.0-1
libmd 1.1.0-2
libmediaart 1.9.7-2
libmfx 23.2.2-6
libmicrodns 0.2.0-2
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpdclient 2.23-1
libmpeg2 0.5.1-11
libmspack 1:1.11-1
libmspub 0.1.4-19
libmtp 1.1.23-1
libmwaw 0.3.22-4
libmypaint 1.6.1-2
libmysofa 1.3.3-1
libnautilus-extension 49.5-1
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.68.1-1
libnghttp3 1.15.0-1
libngtcp2 1.21.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.56.0-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-1
libnumbertext 1.0.11-3
libnvme 1.16.1-3
liboauth 1:1.0.3+r16+gc26f038-2
libobjc 15.2.1+r604+g0b99615a8aef-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.5-1
liborcus 0.21.0-4
libosinfo 1.12.0-3
libp11-kit 0.26.2-1
libpagemaker 0.0.4-5
libpaper 2.2.7-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-3
libphonenumber 1:9.0.26-1
libpipeline 1.5.8-1
libpipewire 1:1.6.2-1
libplacebo 7.360.1-1
libplist 2.7.0-3
libpng 1.6.55-1
libportal 0.9.1-2
libportal-gtk4 0.9.1-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libpwquality 1.4.5-7
libqalculate 5.9.0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 15.2.1+r604+g0b99615a8aef-1
libqxp 0.0.2-15
libraqm 0.10.4-1
libraw 0.22.0-2
libraw1394 2.1.2-4
libreoffice-still 25.8.5-3
librest 0.10.2-1
librevenge 0.0.5-4
librsvg 2:2.61.4-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libshumate 1.5.3-1
libsigc++ 2.12.1-2
